Card	Reason
Champion of Stray Souls	from graveyard
Chancellor of the Annex	in opening hand
Chancellor of the Dross	in opening hand
Chancellor of the Forge	in opening hand
Chancellor of the Spires	in opening hand
Chancellor of the Tangle	in opening hand
Chandra, Pyromaster	multiple targets
Chandra's Phoenix	from graveyard
Channel	mana pool
Channel the Suns	mana pool
Chant of Vitu-Ghazi	convoke
Chaos Charm	choose
Chaos Moon	mana pool
Chaos Orb	physical
Charmed Pendant	mana pool
Chill	cost modification
Cho-Arrim Bruiser	multiple targets
Chord of Calling	convoke
Chromatic Sphere	mana pool
Chromatic Star	mana pool
Chromescale Drake	affinity
Chronatog	skip step/phase/turn
Chronatog Totem	skip step/phase/turn
Chronomantic Escape	suspend
Chronosavant	skip step/phase/turn
Circle of Solace	creature type choice
City of Shadows	mana pool
City of Traitors	mana pool
Clan Defiance	choose
Cloud Key	cost modification
Cloudpost	mana pool
Coal Golem	mana pool
Coal Stoker	mana pool
Coalition Relic	mana pool
Colenfor's Plans	skip step/phase/turn
Composite Golem	mana pool
Conclave Equenaut	convoke
Conclave Phalanx	convoke
Conclave's Blessing	convoke
Conflagrate	divided damage
Conjurer's Ban	name a card
Conspiracy	creature type choice
Consult the Necrosages	choose
Consume Spirit	mana restriction
Consuming Bonfire	choose
Contagion Clasp	multiple targets
Contagion Engine	multiple targets
Coordinated Assault	multiple targets
Coordinated Barrage	creature type choice
Coral Atoll	mana pool
Core Prowler	multiple targets
Corpulent Corpse	suspend
Council of the Absolute	cost modification
Cover of Darkness	creature type choice
Cranial Extraction	name a card
Creeping Renaissance	choose permanent type
Crime // Punishment	split card
Crimson Hellkite	mana restriction
Crosis's Attendant	mana pool
Crosis's Charm	choose
Cruel Revival	multiple targets
Crushing Vines	choose
Crypt Ghast	mana pool
Crypt of Agadeem	mana pool
Cryptic Command	choose
Crystal Quarry	mana pool
Crystal Vein	mana pool
Culling the Weak	mana pool
Cultural Exchange	multiple targets
Curse of Bloodletting	enchant player
Curse of Death's Hold	enchant player
Curse of Echoes	enchant player
Curse of Exhaustion	enchant player
Curse of Inertia	enchant player
Curse of Intertia	enchant player
Curse of Misfortunes	enchant player
Curse of Oblivion	enchant player
Curse of Predation	enchant player
Curse of Shallow Graves	enchant player
Curse of Stalked Prey	enchant player
Curse of the Bloody Tome	enchant player
Curse of the Cabal	suspend
Curse of the Forsaken	enchant player
Curse of the Nightly Hunt	enchant player
Curse of the Pierced Heart	enchant player
Curse of Thirst	enchant player
Cursed Scroll	name a card
Cutthroat Maneuver	multiple targets
Cyclical Evolution	suspend
Damia, Sage of Stone	skip step/phase/turn
Darigaaz's Attendant	mana pool
Darigaaz's Charm	choose
Dark Ritual	mana pool
Darkwater Catacombs	mana pool
Darkwater Egg	mana pool
Daru Warchief	cost modification
Dauntless Onslaught	multiple targets
Dawn Charm	choose
Dawn to Dusk	choose
Dawn's Reflection	mana pool
Dead // Gone	split card
Deadbridge Goliath	from graveyard
Deadly Allure	blocking restriction
Death of a Thousand Stings	from graveyard
Deathrite Shaman	mana pool
Declaration of Naught	name a card
Decompose	multiple targets
Deconstruct	mana pool
Deep-Sea Kraken	suspend
Defense Grid	cost modification
Defensive Maneuvers	creature type choice
Delay	suspend
Dementia Sliver	name a card
Demonic Consultation	name a card
Denying Wind	multiple targets
Derelor	cost modification
Desperate Research	name a card
Desperate Ritual	mana pool
Detritivore	suspend
Devouring Light	convoke
Dichotomancy	suspend
Dimir Aqueduct	mana pool
Dimir Charm	choose
Dimir Signet	mana pool
Distant Melody	creature type choice
Divine Congregation	suspend
Divining Witch	name a card
Doom Cannon	creature type choice
Door of Destinies	creature type choice
Dormant Volcano	mana pool
Double Negative	multiple targets
Doubling Cube	mana pool
Doubling Season	counters replacement
Down // Dirty	split card
Downpour	multiple targets
Draco	cost modification
Dragon Appeasement	skip step/phase/turn
Dragon Breath	from graveyard
Dragon Fangs	from graveyard
Dragon Scales	from graveyard
Dragon Shadow	from graveyard
Dragon Wings	from graveyard
Dragonspeaker Shaman	cost modification
Drain Life	mana restriction
Drain Power	mana pool
Dreadship Reef	mana pool
Dream Chisel	cost modification
Dream Tides	multiple targets
Dream's Grip	choose
Dreg Mangler	from graveyard
Dromar's Attendant	mana pool
Dromar's Charm	choose
Dross Golem	affinity
Druids' Repository	mana pool
Durkwood Baloth	suspend
Duskrider Peregrine	suspend
Dust of Moments	choose
Dwarven Catapult	divided damage
Dwarven Hold	mana pool
Dwarven Ruins	mana pool
Dwell on the Past	multiple targets
Early Frost	multiple targets
Eater of Days	skip step/phase/turn
Ebon Stronghold	mana pool
Ebony Charm	choose
Edgewalker	cost modification
Eladamri's Vineyard	mana pool
Eldazi Temple	mana restriction
Elderwood Scion	cost modification
Eldrazi Temple	mana restriction
Electrolyze	divided damage
Elemental Resonance	mana pool
Elfhame Sanctuary	skip step/phase/turn
Elvish Aberration	mana pool
Elvish Archdruid	mana pool
Elvish Bard	all block
Elvish Guidance	mana pool
Elvish Soultiller	creature type choice
Elvish Spirit Guide	mana pool
Emblazoned Golem	mana restriction
Embolden	divided prevent
Emerald Charm	choose
Emerald Medallion	cost modification
Endbringer's Revel	opponent activate
Energy Bolt	choose
Energy Chamber	choose
Energy Tap	mana pool
Engineered Plague	creature type choice
Enigma Eidolon	from graveyard
Entomber Exarch	choose
Entropic Eidolon	from graveyard
Eon Hub	skip step/phase/turn
Epochrasite	suspend
Errant Ephemeron	suspend
Esper Charm	choose
Eternal Dragon	from graveyard
Etherium Sculptor	cost modification
Etherwrought Page	choose
Everflowing Chalice	mana pool
Everglades	mana pool
Evermind	splice
Evershrike	from graveyard
Evolution Charm	choose
Excavation	opponent activate
Exile into Darkness	from graveyard
Extinction	creature type choice
Extraplanar Lens	mana pool
Eye of Ugin	cost modification
Fact or Fiction	separate into piles
Faerie Macabre	multiple targets
Faithless Looting	from graveyard
Falling Star	physical
Famished Ghoul	multiple targets
Far // Away	split card
Farrelite Priest	mana pool
Fasting	skip step/phase/turn
Fatal Lore	multiple targets
Feast or Famine	choose
Feeling of Dread	multiple targets
Fendeep Summoner	multiple targets
Feral Hydra	opponent activate
Feroz's Ban	cost modification
Fertile Ground	mana pool
Festering March	suspend
Fetid Heath	mana pool
Fever Charm	choose
Fiery Justice	divided damage
Final Revels	choose
Finest Hour	additional combat phase
Fire // Ice	split card
Fire at Will	divided damage
Fire Covenant	divided damage
Fire Sprites	mana pool
Fire-Lit Thicket	mana pool
Fireball	divided damage
Firemane Angel	from graveyard
Firewing Phoenix	from graveyard
Fissure Vent	choose
Flailing Manticore	opponent activate
Flailing Ogre	opponent activate
Flailing Soldier	opponent activate
Flames of the Firebrand	divided damage
Flameshot	divided damage
Flaming Gambit	change target
Flaring Pain	prevent damage prevent
Flash Flood	choose
Flayer of Hatebound	from graveyard
Flayer of the Hatebound	from graveyard
Flesh // Blood	split card
Flooded Grove	mana pool
Food Chain	mana pool
Foreshadow	name a card
Forked Bolt	divided damage
Forked Lightning	divided damage
Fortify	choose
Fountain of Cho	mana pool
Frogmite	cost modification
Frogtosser Banneret	cost modification
Frost Breath	multiple targets
Fuel for the Cause	multiple targets
Fulgent Distraction	multiple targets
Funeral Charm	choose
Fungal Behemoth	suspend
Fungal Reaches	mana pool
Furnace Dragon	affinity
Fury Charm	choose
Fury of the Horde	additional combat phase
Fyndhorn Elder	mana pool
Gaea's Blessing	multiple targets
Gaea's Cradle	mana pool
Gaea's Touch	mana pool
Gang of Devils	divided damage
Gangrenous Goliath	from graveyard
Gather Courage	convoke
Gauntlet of Might	mana pool
Gauntlet of Power	mana pool
Gemstone Array	mana pool
Gemstone Caverns	in opening hand
Genesis	from graveyard
Geosurge	mana pool
Geothermal Crevice	mana pool
Ghostform	multiple targets
Ghoulcaller's Chant	choose
Giant Dustwasp	suspend
Gibbering Descent	skip step/phase/turn
Gibbering Hyenas	blocking restriction
Gift of the Deity	all block
Gilded Lotus	mana pool
Give // Take	split card
Glarewielder	multiple targets
Glissa Sunseeker	mana pool
Glittering Lion	opponent activate
Glittering Lynx	opponent activate
Gloom	cost modification
Glowrider	cost modification
Goblin Clearcutter	mana pool
Goblin Electromancer	cost modification
Goblin Warchief	cost modification
Goblin Welder	multiple targets
Godo, Bandit Warlord	additional combat phase
Golgari Charm	choose
Golgari Decoy	all block
Golgari Rot Farm	mana pool
Golgari Signet	mana pool
Grab the Reins	choose
Grafdigger's Cage	can't enter/cast
Grafted Wargear	becomes unattached
Grand Arbiter Augustin IV	cost modification
Grand Architect	mana pool
Gravecrawler	from graveyard
Gravegouger	multiple targets
Graven Cairns	mana pool
Greater Gargadon	suspend
Green Mana Battery	mana pool
Greenweaver Druid	mana pool
Grim Affliction	multiple targets
Grim Discovery	choose
Grim Lavamancer	multiple targets
Grim Monolith	mana pool
Grim Reminder	from graveyard
Grinning Ignus	mana pool
Grixis Charm	choose
Gruul Charm	choose
Gruul Signet	mana pool
Gruul Turf	mana pool
Guardian of Vitu-Ghazi	convoke
Gyre Sage	mana pool
Haakon, Stromgald Scourge	from graveyard
Hail of Arrows	divided damage
Hall of the Bandit Lord	mana pool
Hammer of Bogardan	from graveyard
Harabaz Druid	mana pool
Harrow	multiple targets
Harsh Mercy	creature type choice
Havenwood Battleground	mana pool
Healing Leaves	choose
Healing Salve	choose
Heartbeat of Spring	mana pool
Hearth Charm	choose
Heartless Summoning	cost modification
Helionaut	mana pool
Hellkite Charger	additional combat phase
Helm of Awakening	cost modification
Henge of Ramos	mana pool
Herald of War	cost modification
Heritage Druid	mana pool
Hero of Iroas	cost modification
Heroes Remembered	suspend
Hickory Woodlot	mana pool
Hide // Seek	split card
High Seas	cost modification
High Tide	mana pool
Hit // Run	split card
Hollow Trees	mana pool
Hope Charm	choose
Hour of Reckoning	convoke
Hoverguard Sweepers	multiple targets
Hull Breach	choose
Hurly-Burly	choose
Hydroblast	choose
Hypergenesis	suspend
Icatian Store	mana pool
Ice Cauldron	mana pool
Iceberg	mana pool
Ichorid	from graveyard
Ifh-Biff Efreet	opponent activate
Ignite Disorder	divided damage
Illusion // Reality	split card
Illusionist's Gambit	additional combat phase
Imagecrafter	creature type choice
Imperiosaur	mana restriction
Implements of Sacrifice	mana pool
Incendiary Command	choose
Incite War	choose
Increasing Ambition	cast from graveyard condition
Increasing Confusion	cast from graveyard condition
Increasing Devotion	cast from graveyard condition
Increasing Savagery	cast from graveyard condition
Increasing Vengeance	cast from graveyard condition
Indrik Umbra	all block
Inexorable Tide	multiple targets
Infernal Harvest	divided damage
Infernal Plunge	mana pool
Inferno Titan	divided damage
Infiltrator il-Kor	suspend
Infinite Hourglass	opponent activate
Initiates of the Ebon Hand	mana pool
Inner Fire	mana pool
Inquisitor Exarch	choose
Into the Void	multiple targets
Into Thin Air	affinity
Invoke the Firemind	choose
Irini Sengir	cost modification
Irrigation Ditch	mana pool
Island Sanctuary	skip step/phase/turn
Isperia the Inscrutable	name a card
Ith, High Arcanist	suspend
Ivory Charm	choose
Ivory Gargoyle	skip step/phase/turn
Ivory Giant	suspend
Izzet Boilerworks	mana pool
Izzet Charm	choose
Izzet Signet	mana pool
Jace, Architect of Thought	separate into piles
Jace, Memory Adept	multiple targets
Jade Leech	cost modification
Jarad, Golgari Lich Lord	from graveyard
Jaws of Stone	divided damage
Jet Medallion	cost modification
Jeweled Bird	ante
Jhoira of the Ghitu	suspend
Joraga Treespeaker	mana pool
Journey of Discovery	choose
Jund Charm	choose
Jungle Basin	mana pool
Kaervek's Torch	cost modification
Kaleidostone	mana pool
Karametra's Acolyte	mana pool
Karn Liberated	restart the game
Karona, False God	creature type choice
Karoo	mana pool
Kavu Primarch	convoke
Keeper of Progenitus	mana pool
Keldon Halberdier	suspend
Khalni Gem	mana pool
Knight of Sursi	suspend
Knotvine Mystic	mana pool
Koskun Keep	mana pool
Koth of the Hammer	mana pool
Krark-Clan Ironworks	mana pool
Krark-Clan Stoker	mana pool
Krosan Drover	cost modification
Krosan Restorer	multiple targets
Krosan Warchief	cost modification
Kuldotha Flamefiend	divided damage
Kuldotha Forgemaster	multiple targets
Kuldotha Phoenix	from graveyard
Kyren Toy	mana pool
Lake of the Dead	mana pool
Lammastide Weave	name a card
Land Tax	multiple targets
Land's Edge	opponent activate
Laquatus's Disdain	from graveyard
Lead Astray	multiple targets
Lethal Vapors	opponent activate
Leyline of Anticipation	begin the game with it
Leyline of Lifeforce	begin the game with it
Leyline of Lightning	begin the game with it
Leyline of Punishment	begin the game with it
Leyline of Sanctity	begin the game with it
Leyline of Singularity	begin the game with it
Leyline of the Meek	begin the game with it
Leyline of the Void	begin the game with it
Leyline of Vitality	begin the game with it
Liar's Pendulum	name a card
Liege of the Tangle	multiple targets
Life // Death	split card
Life from the Loam	from graveyard
Lightning Storm	opponent activate
Liliana of the Dark Realms	mana pool
Liliana of the Veil	separate into piles
Lion's Eye Diamond	mana pool
Liturgy of Blood	mana pool
Living End	suspend
Living Inferno	divided damage
Locket of Yesterdays	cost modification
Lodestone Bauble	multiple targets
Lodestone Golem	cost modification
Long-Forgotten Gohei	cost modification
Lorthos, the Tidemaker	multiple targets
Lotus Bloom	mana pool
Lotus Blossom	mana pool
Lotus Cobra	mana pool
Lotus Vale	mana pool
Luminescent Rain	creature type choice
Lure	all block
Lyev Decree	multiple targets
Macabre Waltz	multiple targets
Madcap Skills	blocking restriction
Magma Phoenix	from graveyard
Magmatic Core	divided damage
Magnetic Mountain	multiple targets
Magosi, the Waterveil	skip step/phase/turn
Magus of the Coffers	mana pool
Magus of the Scroll	name a card
Magus of the Vineyard	mana pool
Mana Bloom	mana pool
Mana Cache	opponent activate
Mana Crypt	mana pool
Mana Cylix	mana pool
Mana Drain	mana pool
Mana Echoes	mana pool
Mana Flare	mana pool
Mana Geyser	mana pool
Mana Matrix	cost modification
Mana Prism	mana pool
Mana Seism	mana pool
Mana Short	mana pool
Mana Vault	mana pool
Manaforge Cinder	mana pool
Manamorphose	mana pool
Marath, Will of the Wild	choose
March of the Returned	multiple targets
Mark of Sakiko	mana pool
Markov Warlord	multiple targets
Marshal's Anthem	multiple targets
Martyr of Bones	multiple targets
Masked Admirers	from graveyard
Master of the Wild Hunt	divided damage
Meddling Mage	name a card
Meditate	skip step/phase/turn
Melira, Sylvok Outcast	counters replacement
Memoricide	name a card
Mercadian Bazaar	mana pool
Mercenaries	opponent activate
Merciless Eviction	choose
Merseine	opponent activate
Metalworker	mana pool
Metamorphosis	mana pool
Meteor Shower	divided damage
Midnight Charm	choose
Mindblaze	name a card
Mindstab	suspend
Mirari's Wake	mana pool
Mischief and Mayhem	multiple targets
Misery Charm	choose
Mishra's Workshop	mana pool
Misinformation	multiple targets
Mistform Dreamer	creature type choice
Mistform Mask	creature type choice
Mistform Mutant	creature type choice
Mistform Skyreaver	creature type choice
Mistform Sliver	creature type choice
Mistform Stalker	creature type choice
Mistform Wall	creature type choice
Mistform Warchief	cost modification
Mogis's Marauder	multiple targets
Molten Firebird	skip step/phase/turn
Molten Slagheap	mana pool
Morbid Plunder	multiple targets
Morgue Toad	mana pool
Morselhoarder	mana pool
Mortipede	all block
Mossfire Egg	mana pool
Mossfire Valley	mana pool
Mudslide	multiple targets
Mul Daya Channelers	mana pool
Muraganda Petroglyphs	no abilities
Mycosynth Golem	affinity
Myr Enforcer	affinity
Myr Moonvessel	mana pool
Myr Reservoir	mana pool
Myr Superion	mana restriction
Mystic Gate	mana pool
Nantuko Elder	mana pool
Nantuko Shaman	suspend
Nath's Elite	all block
Naya Charm	choose
Nebuchadnezzar	name a card
Necra Disciple	mana pool
Necropotence	skip step/phase/turn
Necrosavant	from graveyard
Nefashu	multiple targets
Nemesis Mask	all block
Nether Traitor	from graveyard
Nevermore	name a card
Night // Day	split card
Nightbird's Clutches	multiple targets
Nightmare Incursion	multiple targets
Nightscape Battlemage	multiple targets
Nightscape Familiar	cost modification
Nightveil Specter	Cast from exile
Nihilith	suspend
Nim Devourer	from graveyard
Nirkana Revenant	mana pool
Noble Quarry	all block
Noggin Whack	multiple targets
Nomadic Elf	mana pool
Notion Thief	draw replacement
Null Chamber	name a card
Null Profusion	skip step/phase/turn
Numot, the Devastator	multiple targets
Nykthos, Shrine to Nyx	mana pool
Odds // Ends	split card
Omnath, Locus of Mana	mana pool
One Dozen Eyes	choose
Onslaught	divided damage
Oona's Prowler	opponent activate
Opal Palace	mana restriction
Orcish Lumberjack	mana pool
Order // Chaos	split card
Orochi Leafcaller	mana pool
Orzhov Basilica	mana pool
Orzhov Charm	choose
Orzhov Pontiff	choose
Orzhov Signet	mana pool
Outbreak	creature type choice
Overabundance	mana pool
Overeager Apprentice	mana pool
Overgrown Battlement	mana pool
Overgrowth	mana pool
Overlaid Terrain	mana pool
Overwhelm	convoke
Oxidia Golem	affinity
Pack Hunt	multiple targets
Pack's Disdain	creature type choice
Pain // Suffering	split card
Palladium Myr	mana pool
Panic Attack	multiple targets
Paradox Haze	enchant player
Parch	choose
Pardic Dragon	suspend
Past in Flames	from graveyard
Patriarch's Bidding 	creature type choice
Pearl Medallion	cost modification
Peat Bog	mana pool
Peer Pressure	creature type choice
Pentad Prism	mana pool
Permafrost Trap	multiple targets
Petalmane Baku	mana pool
Petrified Plating	suspend
Phage the Untouchable	cast from hand
Phantasmagorian	from graveyard
Phthisis	suspend
Phyrexian Altar	mana pool
Phyrexian Colossus	blocking restriction
Phyrexian Revoker	name a card
Phyrexian Splicer	choose
Phyrexian Tower	mana pool
Piety Charm	choose
Pili-Pala	mana pool
Pillar of the Paruns	mana restriction
Piracy	mana restriction
Piracy Charm	choose
Pithing Needle	name a card
Plaguemaw Beast	multiple targets
Planar Gate	cost modification
Plasm Capture	mana pool
Plunder	suspend
Plunge into Darkness	choose
Pollen Remedy	divided prevent
Polukranos, World Eater	divided damage
Power Conduit	choose
Predict	name a card
Priest of Gix	mana pool
Priest of Titania	mana pool
Priest of Urabrask	mana pool
Priest of Yawgmoth	mana pool
Primal Beyond	mana restriction
Primal Command	choose
Prismatic Lens	mana pool
Prized Unicorn	all block
Proclamation of Rebirth	multiple targets
Profane Command	choose
Profit // Loss	split card
Promise of Power	choose
Prophetic Prism	mana pool
Protect // Serve	split card
Psychic Possession	skip step/phase/turn
Punishing Fire	from graveyard
Pure // Simple	split card
Purify the Grave	from graveyard
Putrid Warrior	choose
Pygmy Hippo	mana pool
Pyramids	choose
Pyreheart Wolf	blocking restriction
Pyretic Ritual	mana pool
Pyroblast	choose
Pyrokinesis	multiple targets
Pyrotechnics	divided damage
Quicksilver Behemoth	affinity
Quicksilver Elemental	mana restriction
Quicksilver Geyser	multiple targets
Quicksilver Wall	opponent activate
Quiet Disrepair	choose
Quirion Sentinel	mana pool
Qumulox	affinity
Radha, Heir to Keld	mana pool
Rag Dealer	multiple targets
Ragemonger	cost modification
Rain of Rust	choose
Rain of Thorns	choose
Rakdos Carnarium	mana pool
Rakdos Charm	choose
Rakdos Signet	mana pool
Rakdos, Lord of Riots	cost modification
Ral Zarek	multiple targets
Rapid Decay	multiple targets
Rasputin Dreamweaver	mana pool
Ray of Revelation	from graveyard
Razor Golem	affinity
Reach of Branches	from graveyard
Ready // Willing	split card
Reality Spasm	choose
Reality Strobe	suspend
Reap	multiple targets
Reap and Sow	choose
Reap Intellect	multiple targets
Reap What Is Sown	multiple targets
Reassembling Skeleton	from graveyard
Recantation	multiple targets
Recuperate	choose
Recycle	skip step/phase/turn
Red Elemental Blast	choose
Red Mana Battery	mana pool
Redeem	multiple targets
Reign of Chaos	choose
Reinforcements	multiple targets
Rekindled Flame	from graveyard
Relentless Assault	additional combat phase
Relic Bind	choose
Relic Crush	multiple targets
Remedy	divided prevent
Remember the Fallen	choose
Remote Farm	mana pool
Repel the Darkness	multiple targets
Research // Development	split card
Restore Balance	suspend
Retribution	multiple targets
Return to Dust	mana pool
Reveillark	multiple targets
Revenge of the Hunted	all block
Ribbon Snake	opponent activate
Riders of Gavony	creature type choice
Rift Bolt	suspend
Riftmarked Knight	suspend
Riftwing Cloudskate	suspend
Riptide Chronologist	creature type choice
Riptide Replicator	creature type choice
Riptide Shapeshifter	creature type choice
Rise // Fall	split card
Rite of Flame	mana pool
Rith's Attendant	mana pool
Rith's Charm	choose
Roar of the Crowd	creature type choice
Roar of the Kha	choose
Rock Slide	divided damage
Rofellos, Llanowar Emissary	mana pool
Roiling Horror	suspend
Rolling Thunder	divided damage
Root-Kin Ally	convoke
Rosheen Meanderer	mana pool
Rot Farm Skeleton	from graveyard
Rough // Tumble	split card
Ruby Leech	cost modification
Ruby Medallion	cost modification
Rude Awakening	choose
Rugged Prairie	mana pool
Ruins of Trokair	mana pool
Rumbling Crescendo	multiple targets
Runed Halo	name a card
Rushwood Grove	mana pool
Rysorian Badger	multiple targets
Sacellum Godspeaker	mana pool
Sachi, Daughter of Seshiro	mana pool
Sacrifice	mana pool
Sailmonger	opponent activate
Sakiko, Mother of Summer	mana pool
Sakura-Tribe Springcaller	mana pool
Saltcrusted Steppe	mana pool
Salvage Titan	from graveyard
Samite Sanctuary	opponent activate
Sand Silos	mana pool
Sandstone Needle	mana pool
Sandstorm Eidolon	from graveyard
Sapphire Charm	choose
Sapphire Leech	cost modification
Sapphire Medallion	cost modification
Saprazzan Cove	mana pool
Saprazzan Skerry	mana pool
Saproling Cluster	opponent activate
Sarpadian Empires, Vol. VII	enters choose color
Satyr Hedonist	mana pool
Savage Beating	additional combat phase
Savor the Moment	skip step/phase/turn
Scale of Chiss-Goria	affinity
Scandalmonger	opponent activate
Scatter the Seeds	convoke
Scattering Stroke	mana pool
School of the Unseen	mana pool
Scorched Ruins	mana pool
Sea God's Revenge	multiple targets
Sea Scryer	mana pool
Search for Tomorrow	suspend
Searing Blaze	multiple targets
Second Sight	choose
Secrets of the Dead	from graveyard
Seedling Charm	choose
Seething Song	mana pool
Seismic Spike	mana pool
Seize the Day	additional combat phase
Sekki, Seasons' Guide	from graveyard
Selesnya Charm	choose
Selesnya Sanctuary	mana pool
Selesnya Signet	mana pool
Semblance Anvil	cost modification
Serene Remembrance	multiple targets
Serra's Hymn	divided prevent
Serra's Liturgy	multiple targets
Serra's Sanctum	mana pool
Serum Powder	in opening hand
Seton's Desire	all block
Sever the Bloodline	from graveyard
Shade of Trokair	suspend
Shadowblood Egg	mana pool
Shadowblood Ridge	mana pool
Shaman's Trance	from graveyard
Shard Phoenix	from graveyard
Shared Triumph	creature type choice
Shimmering Grotto	mana pool
Shinen of Life's Roar	all block
Shipbreaker Kraken	multiple targets
Shivan Meteor	suspend
Shivan Sand-Mage	suspend
Shizuko, Caller of Autumn	mana pool
Shower of Coals	multiple targets
Shred Memory	multiple targets
Shrine of Boundless Growth	mana pool
Shriveling Rot	choose
Siege Wurm	convoke
Sieze the Day	additional combat phase
Simian Spirit Guide	mana pool
Simic Charm	choose
Simic Growth Chamber	mana pool
Simic Signet	mana pool
Sisay's Ring	mana pool
Skaab Ruinator	from graveyard
Skarrgan Firebird	from graveyard
Skirge Familiar	mana pool
Skirk Prospector	mana pool
Skirsdag High Priest	multiple targets
Skullbriar, the Walking Grave	counters remain
Skullsnatcher	multiple targets
Skycloud Egg	mana pool
Skycloud Expanse	mana pool
Skyshroud Elf	mana pool
Slagstorm	choose
Slaughter Games	name a card
Smokebraider	mana pool
Snowfall	mana pool
Sol Ring	mana pool
Solar Tide	choose
Soldevi Adnate	mana pool
Soldevi Excavations	mana pool
